ID,Title,SP,Labels,Dependencies
MGA-GOV-01,"Select ISO 27001:2013 EEA datacenter",5,"compliance;infra;ops",
MGA-GOV-02,"Procure Malta replication server provider",5,"compliance;infra;ops","MGA-GOV-01"
MGA-GOV-03,"Engage MGA-approved testing/audit labs",3,"compliance;infra;ops",
MGA-GOV-04,"System & Application architecture packs",8,"compliance;infra;ops","MGA-GOV-01;MGA-GOV-02"
MGA-GOV-05,"Data replication plan (RPO/RTO, failover)",5,"compliance;infra;ops","MGA-GOV-02;MGA-GOV-04"
MGA-GOV-06,"Security policies (ISMS, change mgmt, IRP)",5,"compliance;infra;ops",
MGA-GOV-07,"MGA submission pack skeleton",3,"compliance;infra;ops","MGA-GOV-04;MGA-GOV-06"
MGA-APP-01,"Scaffold Vite + React + TS workspace",3,"frontend;compliance",
MGA-APP-02,"App layout and router",3,"frontend;compliance","MGA-APP-01"
MGA-APP-03,"Inactivity timer (28m warn, 30m logout)",5,"frontend;compliance","MGA-APP-02"
MGA-APP-04,"Global suspension overlay",3,"frontend;compliance","MGA-APP-02;MGA-NET-05"
MGA-APP-05,"OIDC login flow and token storage",5,"frontend;compliance","MGA-APP-01"
MGA-APP-06,"Global 401 handler → logout",2,"frontend;compliance","MGA-NET-01"
MGA-APP-07,"Feature flags and environment config loader",3,"frontend;compliance","MGA-APP-01"
MGA-APP-08,"Localization baseline (i18n)",3,"frontend;compliance","MGA-APP-02"
MGA-NET-01,"Axios instance with auth/error interceptors",3,"frontend;ws;security","MGA-APP-05"
MGA-NET-02,"JWT refresh/rotation plumbing",5,"frontend;ws;security","MGA-APP-05"
MGA-NET-03,"WebSocket client with backoff + heartbeat",5,"frontend;ws;security","MGA-NET-01"
MGA-NET-04,"WSS auth handshake",3,"frontend;ws;security","MGA-NET-03"
MGA-NET-05,"Reconnect → full state sync",3,"frontend;ws;security","MGA-NET-04;MGA-STA-01"
MGA-NET-06,"Idempotent bet sending with UUID v4",3,"frontend;ws;security","MGA-NET-04"
MGA-NET-07,"Error model + correlationId propagation",2,"frontend;ws;security","MGA-OBS-01"
MGA-STA-01,"Configure Redux Toolkit store",2,"frontend","MGA-APP-01"
MGA-STA-02,"Session slice",3,"frontend","MGA-STA-01"
MGA-STA-03,"Player slice",2,"frontend","MGA-STA-01"
MGA-STA-04,"Game slice",3,"frontend","MGA-STA-01"
MGA-STA-05,"ResponsibleGaming slice",3,"frontend","MGA-STA-01"
MGA-CMP-01,"ComplianceBar (balance + clock)",2,"frontend;compliance","MGA-STA-03"
MGA-CMP-02,"RealityCheck modal (blocking)",5,"frontend;compliance","MGA-STA-05;MGA-APP-04"
MGA-CMP-03,"Limits Manager (tighten/loosen + cooldown)",5,"frontend;compliance","MGA-NET-01;MGA-STA-05"
MGA-CMP-04,"Self-Exclusion flow",3,"frontend;compliance","MGA-NET-01;MGA-APP-06"
MGA-CMP-05,"Suspension UX integration",3,"frontend;compliance","MGA-APP-04;MGA-ENG-03"
MGA-CMP-06,"Accessibility pass for compliance UI",3,"frontend;compliance","MGA-CMP-02;MGA-CMP-03"
MGA-ENG-01,"Choose engine and bootstrap (PixiJS/Phaser)",3,"frontend","MGA-APP-02"
MGA-ENG-02,"Asset loader & preloading",3,"frontend","MGA-ENG-01"
MGA-ENG-03,"Frame loop gating on suspension/disconnect",3,"frontend","MGA-STA-04;MGA-APP-04"
MGA-ENG-04,"Input subsystem with gating",3,"frontend","MGA-ENG-03"
MGA-ENG-05,"Outcome visualization pipeline",5,"frontend","MGA-NET-05;MGA-STA-04"
MGA-ENG-06,"Deterministic animations from payload",5,"frontend","MGA-ENG-05"
MGA-ENG-07,"Error boundary around renderer",2,"frontend","MGA-OBS-01"
MGA-PAY-01,"PSP iframe host and layout",3,"frontend;pci;security","MGA-APP-02"
MGA-PAY-02,"postMessage handshake and events",3,"frontend;pci;security","MGA-PAY-01"
MGA-PAY-03,"Payment start/complete UX",3,"frontend;pci;security","MGA-PAY-02;MGA-STA-03"
MGA-PAY-04,"CSP allowlist for PSP domain",2,"frontend;pci;security","MGA-SEC-01"
MGA-PAY-05,"Error/receipt surfacing",3,"frontend;pci;security","MGA-PAY-03"
MGA-PAY-06,"QA PSP sandbox wiring",2,"frontend;pci;security","MGA-PAY-02;MGA-OPS-01"
MGA-OBS-01,"Client telemetry SDK",5,"observability;frontend","MGA-APP-01"
MGA-OBS-02,"Error tracking integration",3,"observability;frontend","MGA-OBS-01"
MGA-OBS-03,"CorrelationId propagation",2,"observability;frontend","MGA-NET-07"
MGA-OBS-04,"Performance metrics and budgets",3,"observability;frontend","MGA-OPS-02"
MGA-OBS-05,"SIEM feed documentation",2,"observability;frontend","MGA-OBS-01"
MGA-SEC-01,"CSP policy and enforcement",5,"security;compliance","MGA-APP-01"
MGA-SEC-02,"Dependency audit in CI",3,"security;compliance","MGA-OPS-01"
MGA-SEC-03,"Secrets scanning & config policy",2,"security;compliance","MGA-OPS-01"
MGA-SEC-04,"HTTPS/WSS enforcement tests",3,"security;compliance","MGA-OPS-02;MGA-NET-04"
MGA-SEC-05,"Determinative logic lint/semgrep rules",3,"security;compliance","MGA-ENG-05"
MGA-SEC-06,"E2E security tests (CSP, clickjacking, XSS)",5,"security;compliance","MGA-SEC-01;MGA-OPS-02"
MGA-SEC-07,"Privacy & cookie policy alignment",2,"security;compliance","MGA-APP-05"
MGA-OPS-01,"Frontend CI pipeline",3,"ops;security","MGA-APP-01"
MGA-OPS-02,"Compliance gates in CI",5,"ops;security","MGA-APP-03;MGA-APP-04;MGA-NET-06;MGA-SEC-04;MGA-PAY-04"
MGA-OPS-03,"Artifact signing and provenance",3,"ops;security","MGA-OPS-01"
MGA-OPS-04,"Environment promotion workflow",3,"ops;security","MGA-OPS-01"
MGA-OPS-05,"Rollback & incident runbooks",3,"ops;security","MGA-OPS-04"
MGA-INF-01,"Web hosting + CDN with HSTS",3,"infra;security","MGA-GOV-01"
MGA-INF-02,"WAF/CDN rules and headers",3,"infra;security","MGA-SEC-01"
MGA-INF-03,"Environment-specific config delivery",2,"infra;security","MGA-OPS-04"
MGA-INF-04,"Domain & certificate management",2,"infra;security","MGA-GOV-01"
